category,name,new,details,image-src,price,on_sale
Mini Size,Mini SuperHydrate,null,"Infused with Squalane, a plant-derived oil that balances moisture and maintains elasticity, this lightweight gel quickly seeps into the skin for smooth, non-greasy hydration. The result is hydrated, bouncy, plump-looking skin.",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwf15f501f/2021/57457_SCMOI_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$5.00,null
Mini Size,Holy Hydration! The Essentials Mini Kit,null,Travel-size skincare kit to hydrate skin,null,null,$14.00
Mini Size,Mini Keep Your Balance Toner,null,"Say goodbye to dull skin! Now in the perfect mini size - the perfect gentle toner to remove impurities and refresh the skin. The result is soft, fresh and balanced skin.",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwf9e4fcd4/2021/57441_SCTRE_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$5.00,null
Mini Size,Pure Skin Moisturizer Mini,null,"The perfect non-comedogenic, daily moisturizer for all skin types (even sensitive). This rich, nourishing fragrance-free cream moisturizer delivers lasting hydration that never feels greasy and wears flawlessly under makeup. The powerhouse ingredients like Oat Milk, Niacinamide, and Ceramides work to soothe, support the skin’s barrier, and replenish natural moisture for a healthy-looking complexion. Formulated without fragrance, non-comedogenic, cruelty-free, and vegan.",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwdac34212/2022/57536_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$4.00,null
Mini Size,Pure Skin Cleanser Mini,null,Gentle cream face cleanser for all skin types,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw8ea23631/2022/57535_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$4.00,null
Mini Size,Pure Skin Toner Mini,null,"Moisturize and smooth your complexion with this gentle face toner, formulated for daily use on all skin types (even sensitive skin!). Infused with calming, skin-happy ingredients like Oat Milk, Aloe Juice and Niacinamide, this non-irritating toner gently nourishes and softens promoting smooth, even, healthy-looking skin. Formulated without fragrance, non-comedogenic, cruelty-free, and vegan. ",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dwf534a07f/2022/57537_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$5.00,null
Mini Size,Pure Skin Back to Basics Mini Kit,null,"Clean, gentle mini skincare kit for sensitive skin",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw1f3dedb5/2022/57534_Kit_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=3_,null,$14.00
Mini Size,Mini Holy Hydration! Makeup Melting Cleansing Balm,null,"Watch your makeup melt away! It’s solid balm form melts into a luxurious oil and turns into a nourishing milk texture that rinses off clean. Formulated with hyaluronic acid, ceramides and peptides leaving your skin feeling silky smooth and plumped with hydration.",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw683ca0ff/2022/HolyHydration!NewPackaging/57475_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$5.00,null
Mini Size,Mini Booster Drops,null,"This lightweight booster supercharges your routine for instant hydration to help create plump looking skin. These concentrated booster drops can be used alone or added into any foundation, liquid, or cream. Infused with Vitamin E. ",https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw50b8609b/2022/57477_SCTRE_Closed_C.jpg?sw=150&sh=150&sm=fit&sfrm=jpg&strip=false&yocs=F_J_,$3.00,null
Mini Size,Blemish Breakthrough Acne Calming Water Cream Mini,null,Lightweight acne-fighting face moisturizer,https://cdn-fsly.yottaa.net/5a0c9b7632f01c35d42102ae/www.elfcosmetics.com/v~4b.93/dw/image/v2/BBXC_PRD/on/demandware.static/-/Sites-elf-master/default/dw022e2d88/2022/MayLaunches-Skin/57568_Closed_R.jpg?sw=150&sh=150&sm=fit&sfrm=png&strip=false&yocs=F_J_,$7.00,null
